record_id,provider_name,provider_siret,market_ref,boamp_notice,lot,award_date,market_object,function,asset_scope,commune,amount_ht_eur,currency,source_id,status,notes
MKT-001,SARL Savel Bernard et Fils,,pao_41_2017_034,18-14957,2,2017-09-20,"Construction neuve de 17 logements locatifs sociaux — Résidence Boissy d'Anglas","gros œuvre","Résidence Boissy d'Anglas — 17 logements locatifs sociaux",Annonay,748000.00,EUR,SRC-0013,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 2 ; ne pas assimiler au coût total de l'opération"
MKT-002,SARL Reynouard Frères,,pao_41_2017_088,18-39970,2,2018-03-20,"Construction neuve de 15 logements locatifs, d'un bistrot de pays, d'une salle communale et aménagement de la place publique — Résidence Le Chêne du Posas","terrassement / VRD","Résidence Le Chêne du Posas + bistrot de pays + salle communale + place publique",Sampzon,531969.31,EUR,SRC-0014,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 2 ; marché en groupement de commande"
MKT-003,SAS EHC,,pao_41_2017_088,18-39970,3,,"Construction neuve de 15 logements locatifs, d'un bistrot de pays, d'une salle communale et aménagement de la place publique — Résidence Le Chêne du Posas","gros œuvre","Résidence Le Chêne du Posas + bistrot de pays + salle communale + place publique",Sampzon,580224.20,EUR,SRC-0014,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 3 ; date d'attribution non renseignée ici tant que la ligne complète n'est pas recontrôlée"
MKT-004,Entreprise Mommée Bernard,,pao_31_2016_019,16-121475,1,2016-05-17,"Privas — Ilôt République et Ilôt ancien Hôpital","terrassements / VRD","2 maisons individuelles accolées + 14 logements collectifs",Privas,38682.94,EUR,SRC-0015,ETABLI_RESULTAT_MARCHE,"Montant attribué du lot 1 ; ne pas assimiler au coût total des deux opérations"
